d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,984373.39,1014717.26
1_facilities_and_construction,2018-2019,1119213.01,1140824.03
1_facilities_and_construction,2019-2020,1097777.07,1089020.13
1_facilities_and_construction,2020-2021,1094777.68,1042579.43
1_facilities_and_construction,2021-2022,141666.64,128064.38
1_facilities_and_construction,2022-2023,1723610.75,1542294.13
