d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,61445.104132231405
1_facilities_and_construction,2018-2019,193340.19834710742
1_facilities_and_construction,2019-2020,193869.89752066115
1_facilities_and_construction,2020-2021,189953.65278771747
2_professional_services,2017-2018,586225.4415485963
2_professional_services,2018-2019,1190606.3529308762
2_professional_services,2019-2020,920767.203028236
2_professional_services,2020-2021,870676.5753151312
8_security_and_protection,2017-2018,793704.8123239437
