d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2421294.09,2483335.91
2018-2019,4182494.48,4245397.01
2019-2020,3661850.92,3631453.21
2020-2021,4336905.37,4117485.23
2021-2022,7974570.40,6245627.50
