owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2018-2019,364.56,367.97
aafc-aac,2019-2020,32993.04,32735.26
cbsa-asfc,2017-2018,93169.17,96048.94
cbsa-asfc,2018-2019,108157.15,110223.40
cbsa-asfc,2019-2020,182985.08,181552.09
cbsa-asfc,2020-2021,168457.12,160443.93
cbsa-asfc,2021-2022,100624.32,93821.68
cbsa-asfc,2022-2023,85066.78,76118.11
cfia-acia,2017-2018,699.04,719.00
cfia-acia,2018-2019,85049.40,86679.21
cfia-acia,2019-2020,14213.74,14257.72
cra-arc,2017-2018,227907.72,234952.60
cra-arc,2018-2019,227907.72,232275.15
cra-arc,2019-2020,228532.13,226709.13
cra-arc,2020-2021,227907.72,217041.24
cra-arc,2021-2022,367963.42,340119.33
cra-arc,2022-2023,526857.02,471433.87
cta-otc,2018-2019,22830.94,23067.69
dfatd-maecd,2017-2018,15577.76,16084.31
dfatd-maecd,2019-2020,28542.87,28075.72
dfatd-maecd,2020-2021,44692.67,42561.76
dfatd-maecd,2021-2022,367047.05,339698.17
dfatd-maecd,2022-2023,1271558.20,1134223.11
dfo-mpo,2022-2023,120232.00,106398.76
dnd-mdn,2017-2018,1088038.26,1121728.52
dnd-mdn,2018-2019,849568.60,867036.47
dnd-mdn,2019-2020,647456.18,641761.20
dnd-mdn,2020-2021,1036782.85,987517.09
dnd-mdn,2021-2022,689381.82,644469.03
dnd-mdn,2022-2023,938236.87,844154.30
elections,2018-2019,130611.35,132643.49
elections,2019-2020,434892.53,431151.74
elections,2020-2021,451203.54,429690.47
elections,2021-2022,266303.77,248347.13
elections,2022-2023,222429.25,199030.62
esdc-edsc,2017-2018,415754.07,428605.47
esdc-edsc,2018-2019,429788.17,437886.43
esdc-edsc,2019-2020,496079.02,491752.51
esdc-edsc,2020-2021,612748.51,583164.14
esdc-edsc,2021-2022,1046319.09,972389.30
esdc-edsc,2022-2023,1112500.14,994911.74
hc-sc,2017-2018,9733.48,10011.45
hc-sc,2018-2019,175808.16,178809.79
hc-sc,2019-2020,53792.36,53953.72
ic,2017-2018,42579.40,43895.57
ic,2018-2019,43162.68,43818.94
ic,2020-2021,29503.88,28098.88
ic,2021-2022,26831.07,25240.08
infc,2018-2019,121472.61,123324.77
infc,2019-2020,198477.58,196894.32
infc,2020-2021,197935.29,188497.87
infc,2021-2022,197935.29,184025.52
infc,2022-2023,197935.29,177113.32
irb-cisr,2020-2021,288426.44,271777.24
irb-cisr,2021-2022,1784333.05,1658940.22
irb-cisr,2022-2023,1344360.52,1207277.02
lac-bac,2017-2018,7275.72,7500.62
nrc-cnrc,2017-2018,40133.30,41279.45
nrc-cnrc,2018-2019,60565.78,61418.63
nrc-cnrc,2019-2020,222455.10,218690.44
nrc-cnrc,2020-2021,520791.38,496030.10
nrc-cnrc,2021-2022,505322.42,469362.86
nrc-cnrc,2022-2023,440694.56,394385.68
pwgsc-tpsgc,2017-2018,83508.95,85908.58
pwgsc-tpsgc,2018-2019,128097.22,130425.20
pwgsc-tpsgc,2019-2020,167150.00,165816.65
pwgsc-tpsgc,2020-2021,166693.31,158745.49
pwgsc-tpsgc,2021-2022,175094.60,162573.68
pwgsc-tpsgc,2022-2023,425142.37,379316.67
rcmp-grc,2018-2019,52666.26,53672.22
rcmp-grc,2019-2020,53248.21,52823.45
rcmp-grc,2020-2021,53102.72,50570.82
rcmp-grc,2021-2022,53102.72,49370.96
rcmp-grc,2022-2023,53102.72,47516.54
ssc-spc,2017-2018,159652.74,164257.89
ssc-spc,2018-2019,1060622.32,1079497.74
ssc-spc,2019-2020,881063.64,875529.75
ssc-spc,2020-2021,380205.00,362096.47
ssc-spc,2021-2022,609079.56,565919.95
ssc-spc,2022-2023,1273542.51,1136891.09
tbs-sct,2017-2018,52836.70,54473.15
tbs-sct,2018-2019,732057.56,745734.67
tbs-sct,2019-2020,237023.26,236306.12
tbs-sct,2020-2021,433747.70,410022.46
tbs-sct,2021-2022,2005665.51,1864718.69
tbs-sct,2022-2023,1702583.31,1526466.71
tc,2017-2018,245589.98,253020.87
tc,2018-2019,2991.37,3071.23
tc,2019-2020,17899.20,17673.98
vac-acc,2018-2019,24874.00,25253.27
vac-acc,2019-2020,24874.00,24639.88
vac-acc,2020-2021,25764.00,24496.37
