d_most_recent_category,total,percentage
2_professional_services,296070232.2012068,0.6268383510242387
3_information_technology,162675954.00302923,0.34441668113819274
9_human_capital,6811816.992895605,0.014421943400253004
10_office_management,4091019.636819779,0.008661485432311683
8_security_and_protection,2240092.2117127073,0.004742711544124326
4_medical,154468.92329019122,3.2704079852887823e-4
1_facilities_and_construction,126690.17,2.682277669840554e-4
5_transportation_and_logistics,55151.91000000001,1.1676733612564887e-4
6_industrial_products_and_services,52398.75,1.1093836013682649e-4
7_travel,45273.68,9.58531991041664e-5
