d_most_recent_category,total,percentage
2_professional_services,295544719.16,0.6259176658249679
3_information_technology,162951378.52,0.34510562995726235
9_human_capital,6811816.99,0.014426367029616574
10_office_management,3835465.21,0.008122917697380124
8_security_and_protection,2240092.21,0.004744166271650795
1_facilities_and_construction,404301.86,8.562483402573085e-4
4_medical,154468.92,3.27141111450605e-4
6_industrial_products_and_services,135599.22,2.8717801528448854e-4
5_transportation_and_logistics,55151.91,1.1680315206268703e-4
7_travel,45273.68,9.58826000672947e-5
