d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,1014440.64,1040352.63
it_consulting_services,2018-2019,1609445.55,1634040.18
it_consulting_services,2019-2020,1191180.02,1181805.11
it_consulting_services,2020-2021,502576.82,477987.34
it_consulting_services,2021-2022,251741.50,232556.06
it_devices_equipment,2017-2018,33735.81,34607.14
it_devices_equipment,2018-2019,6373.54,6511.97
it_other,2018-2019,12988.19,13115.98
it_other,2019-2020,7351.81,7377.95
it_other,2020-2021,11606.96,11054.81
it_other,2021-2022,15761.60,14648.25
it_software_licensing,2017-2018,191286.47,195795.49
it_software_licensing,2018-2019,2071218.67,2104501.79
it_software_licensing,2019-2020,11110.22,10995.33
it_software_licensing,2020-2021,34574.50,32871.13
it_software_licensing,2021-2022,9627.60,9103.48
