d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,335441.97,345780.20
1_facilities_and_construction,2018-2019,308860.12,314379.11
1_facilities_and_construction,2019-2020,368719.36,368001.61
1_facilities_and_construction,2020-2021,25024.57,23803.72
1_facilities_and_construction,2021-2022,41599.84,38628.61
11_defence,2017-2018,1290580.87,1328631.88
11_defence,2018-2019,938606.30,958166.39
11_defence,2019-2020,158951.30,158606.46
11_defence,2020-2021,176792.93,168533.83
11_defence,2021-2022,120996.34,114272.65
3_information_technology,2017-2018,24673.06,25443.04
5_transportation_and_logistics,2017-2018,11245.25,11565.54
5_transportation_and_logistics,2021-2022,1973.96,1794.86
6_industrial_products_and_services,2017-2018,467103.12,481041.79
6_industrial_products_and_services,2018-2019,1298536.66,1321693.88
6_industrial_products_and_services,2019-2020,185841.67,185035.73
6_industrial_products_and_services,2020-2021,276271.85,264686.48
6_industrial_products_and_services,2021-2022,21585.97,20531.28
