d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,17914.24
11_defence,2017-2018,995410.9856552685
11_defence,2018-2019,760273.66
11_defence,2019-2020,321527.09
11_defence,2020-2021,175256.02
3_information_technology,2017-2018,47907.78
5_transportation_and_logistics,2017-2018,1680142.6297222222
5_transportation_and_logistics,2018-2019,1543179.5641485506
5_transportation_and_logistics,2019-2020,2125007.9241847824
5_transportation_and_logistics,2020-2021,2755675.2729374142
6_industrial_products_and_services,2017-2018,125613.85
6_industrial_products_and_services,2018-2019,164278.97
6_industrial_products_and_services,2019-2020,50586.2
