d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,1036280.10,1068234.50
1_facilities_and_construction,2018-2019,2383727.15,2430915.96
1_facilities_and_construction,2019-2020,1394265.11,1387994.24
1_facilities_and_construction,2020-2021,1577905.80,1510544.94
1_facilities_and_construction,2021-2022,339589.25,319538.28
1_facilities_and_construction,2022-2023,2115230.53,1888269.78
2_professional_services,2020-2021,241022.75,231613.46
