normalized_vendor_name,original_vendor_name
NIELSEN,NIELSEN MEDIA RESEARCH
NIELSEN,ACNIELSEN COMPANY OF CANADA
NIELSEN,A C Nielsen Company of Canada Limited
NIELSEN,ACNielsen Company of Canada
NIELSEN,AC NIELSEN COMPANY OF CANADA
NIELSEN,AC NIELSEN  COMPANY OF CANADA
NIELSEN,ACNIELSEN COMPANY
NIELSEN,Nielsen Media Research Ltd
NIELSEN,Nielsen SoundScan
NIELSEN,ACNIELSEN COMPANY of Canada
NIELSEN,Acnielsen Company of Canada
NIELSEN,ACNeilsen Company of Canada
NIELSEN,NIELSEN SYSTEMS
NIELSEN,ACNIELSEN COMPAGNY OF CANADA
NIELSEN,NIELSEN AG & SERVICE INC.
NIELSEN,NIELSEN ROOFING
NIELSEN,NIELSEN CANADA
NIELSEN,A. C. NEILSEN RESEARCH SERVICES
