owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2018-2019,181068.34,183816.55
aafc-aac,2019-2020,199012.05,198600.45
nrc-cnrc,2017-2018,306021.75,315619.70
nrc-cnrc,2018-2019,183288.26,187650.29
nrc-cnrc,2020-2021,222653.43,212902.80
nrc-cnrc,2021-2022,52381.35,49604.88
pwgsc-tpsgc,2017-2018,2679070.77,2761532.07
pwgsc-tpsgc,2018-2019,1600277.97,1636743.17
pwgsc-tpsgc,2019-2020,116994.92,115758.87
pwgsc-tpsgc,2020-2021,213227.50,202611.81
pwgsc-tpsgc,2021-2022,497539.53,461705.27
pwgsc-tpsgc,2022-2023,372228.79,330752.85
rcmp-grc,2017-2018,183625.00,189384.15
rcmp-grc,2018-2019,17313.86,17658.25
