d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1580485.69,1624767.72
2018-2019,3517544.36,3581841.48
2019-2020,82884.16,81235.54
2020-2021,18330.52,17627.79
2021-2022,158652.76,151165.69
