d_most_recent_category,total,percentage
6_industrial_products_and_services,2980235.1827056673,0.5327122099483079
3_information_technology,2188546.711433399,0.39119917850386987
1_facilities_and_construction,372280.19275665283,0.06654448123900454
9_human_capital,53394.22,0.009544130308817742
