d_fiscal_year,total,total_constant_2019_dollars
2017-2018,5531910.14,5698613.45
2018-2019,4016004.12,4073144.66
2019-2020,4298372.04,4245229.42
2020-2021,3041110.65,2888007.23
2021-2022,2050415.11,1897726.69
2022-2023,2455396.24,2185091.41
