d_most_recent_category,total,percentage
2_professional_services,8060056.47,0.435
10_office_management,5973990.78,0.3224
1_facilities_and_construction,3471461.61,0.1874
9_human_capital,467329.91,0.0252
7_travel,278783.60,0.015
6_industrial_products_and_services,116478.56,0.0063
3_information_technology,109620.15,0.0059
11_defence,50000.00,0.0027
