normalized_vendor_name,original_vendor_name
G A L POWER SYSTEMS OTTAWA,G.A.L. Power Systems Ottawa
G A L POWER SYSTEMS OTTAWA,G A L POWER SYSTEMS OTTAWA LTD
G A L POWER SYSTEMS OTTAWA,G A L Power Systems Ottawa Ltd
G A L POWER SYSTEMS OTTAWA,G.A.L. POWER SYSTEMS OTTAWA LTD.
G A L POWER SYSTEMS OTTAWA,G.A.L. Power Systems Ottawa Ltd.
G A L POWER SYSTEMS OTTAWA,G.A.L POWER SYSTEMS OTTAWA LTD
