d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2187892.23,2252909.23
2018-2019,3076938.56,3128473.03
2019-2020,3072275.04,3046754.47
2020-2021,1374283.95,1308415.60
2021-2022,1192433.47,1111010.48
