d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,30809.45
2_professional_services,2017-2018,109551.0598817967
2_professional_services,2018-2019,146925.87234042553
2_professional_services,2020-2021,124199.92
3_information_technology,2017-2018,130718.4366456271
3_information_technology,2018-2019,323832.84382526565
3_information_technology,2019-2020,306644.9114521842
3_information_technology,2020-2021,31818.03
9_human_capital,2017-2018,1647765.9138337604
9_human_capital,2018-2019,2315768.18548543
9_human_capital,2019-2020,2765630.1274560466
9_human_capital,2020-2021,1177523.854409676
NA,2017-2018,13927.25
NA,2020-2021,27572
