owner_org,d_fiscal_year,total
dnd-mdn,2017-2018,1389437.96
dnd-mdn,2018-2019,116143255.63
dnd-mdn,2019-2020,141839414.85917526
dnd-mdn,2020-2021,55500089.81636598
