d_most_recent_category,total,percentage
6_industrial_products_and_services,8351646.184982569,0.36890699260962806
3_information_technology,8318325.540957025,0.3674351607926406
11_defence,3008418.5226262626,0.1328871703986669
10_office_management,953144.4737168142,0.04210207826495592
2_professional_services,878680.6706139047,0.038812880296971455
5_transportation_and_logistics,535096.4452455357,0.023636156992209206
8_security_and_protection,361705.82999999996,0.01597718665268719
1_facilities_and_construction,231876.01588235295,0.010242373992240634
