d_fiscal_year,total,total_constant_2019_dollars
2017-2018,8837938.14,9058424.44
2018-2019,9920167.03,10038512.22
2019-2020,17822141.93,17644610.92
2020-2021,2550494.36,2430591.67
2021-2022,13539587.40,12570102.63
