ref_date,constant_dollars_multiplier_2019
2000-04,1.558379120879121
2000-05,1.558379120879121
2000-06,1.558379120879121
2000-07,1.566988950276243
2000-08,1.566988950276243
2000-09,1.566988950276243
2000-10,1.566988950276243
2000-11,1.566988950276243
2000-12,1.566988950276243
2001-01,1.5648275862068965
2001-02,1.5648275862068965
2001-03,1.5648275862068965
2001-04,1.556241426611797
2001-05,1.556241426611797
2001-06,1.556241426611797
2001-07,1.5351826792963463
2001-08,1.5351826792963463
2001-09,1.5351826792963463
2001-10,1.5187416331994645
2001-11,1.5187416331994645
2001-12,1.5187416331994645
2002-01,1.514686248331108
2002-02,1.514686248331108
2002-03,1.514686248331108
2002-04,1.5006613756613758
2002-05,1.5006613756613758
2002-06,1.5006613756613758
2002-07,1.4868938401048493
2002-08,1.4868938401048493
2002-09,1.4868938401048493
2002-10,1.4714656290531778
2002-11,1.4714656290531778
2002-12,1.4714656290531778
2003-01,1.4676584734799483
2003-02,1.4676584734799483
2003-03,1.4676584734799483
2003-04,1.46010296010296
2003-05,1.46010296010296
2003-06,1.46010296010296
2003-07,1.4433842239185752
2003-08,1.4433842239185752
2003-09,1.4433842239185752
2003-10,1.4378960709759188
2003-11,1.4378960709759188
2003-12,1.4378960709759188
2004-01,1.432449494949495
2004-02,1.432449494949495
2004-03,1.432449494949495
2004-04,1.4270440251572327
2004-05,1.4270440251572327
2004-06,1.4270440251572327
2004-07,1.4234629861982433
2004-08,1.4234629861982433
2004-09,1.4234629861982433
2004-10,1.4145885286783042
2004-11,1.4145885286783042
2004-12,1.4145885286783042
2005-01,1.3937346437346436
2005-02,1.3937346437346436
2005-03,1.3937346437346436
2005-04,1.3801703163017032
2005-05,1.3801703163017032
2005-06,1.3801703163017032
2005-07,1.3701690821256038
2005-08,1.3701690821256038
2005-09,1.3701690821256038
2005-10,1.3635817307692308
2005-11,1.3635817307692308
2005-12,1.3635817307692308
2006-01,1.3554360812425328
2006-02,1.3554360812425328
2006-03,1.3554360812425328
2006-04,1.3347058823529412
2006-05,1.3347058823529412
2006-06,1.3347058823529412
2006-07,1.3222610722610724
2006-08,1.3222610722610724
2006-09,1.3222610722610724
2006-10,1.3161252900232019
2006-11,1.3161252900232019
2006-12,1.3161252900232019
2007-01,1.301032110091743
2007-02,1.301032110091743
2007-03,1.301032110091743
2007-04,1.2892045454545455
2007-05,1.2892045454545455
2007-06,1.2892045454545455
2007-07,1.2980549199084668
2007-08,1.2980549199084668
2007-09,1.2980549199084668
2007-10,1.2833710407239818
2007-11,1.2833710407239818
2007-12,1.2833710407239818
2008-01,1.2647714604236344
2008-02,1.2647714604236344
2008-03,1.2647714604236344
2008-04,1.2494493392070485
2008-05,1.2494493392070485
2008-06,1.2494493392070485
2008-07,1.2398907103825136
2008-08,1.2398907103825136
2008-09,1.2398907103825136
2008-10,1.2344940152339499
2008-11,1.2344940152339499
2008-12,1.2344940152339499
2009-01,1.2238403451995685
2009-02,1.2238403451995685
2009-03,1.2238403451995685
2009-04,1.2146680942184154
2009-05,1.2146680942184154
2009-06,1.2146680942184154
2009-07,1.2107790821771611
2009-08,1.2107790821771611
2009-09,1.2107790821771611
2009-10,1.2005291005291006
2009-11,1.2005291005291006
2009-12,1.2005291005291006
2010-01,1.2069148936170213
2010-02,1.2069148936170213
2010-03,1.2069148936170213
2010-04,1.2005291005291006
2010-05,1.2005291005291006
2010-06,1.2005291005291006
2010-07,1.191701680672269
2010-08,1.191701680672269
2010-09,1.191701680672269
2010-10,1.1842379958246347
2010-11,1.1842379958246347
2010-12,1.1842379958246347
2011-01,1.1695876288659794
2011-02,1.1695876288659794
2011-03,1.1695876288659794
2011-04,1.1612077789150461
2011-05,1.1612077789150461
2011-06,1.1612077789150461
2011-07,1.147118301314459
2011-08,1.147118301314459
2011-09,1.147118301314459
2011-10,1.1448032290615542
2011-11,1.1448032290615542
2011-12,1.1448032290615542
2012-01,1.145959595959596
2012-02,1.145959595959596
2012-03,1.145959595959596
2012-04,1.137913741223671
2012-05,1.137913741223671
2012-06,1.137913741223671
2012-07,1.129980079681275
2012-08,1.129980079681275
2012-09,1.129980079681275
2012-10,1.1232673267326734
2012-11,1.1232673267326734
2012-12,1.1232673267326734
2013-01,1.1046738072054527
2013-02,1.1046738072054527
2013-03,1.1046738072054527
2013-04,1.1035992217898833
2013-05,1.1035992217898833
2013-06,1.1035992217898833
2013-07,1.0971953578336557
2013-08,1.0971953578336557
2013-09,1.0971953578336557
2013-10,1.0929672447013488
2013-11,1.0929672447013488
2013-12,1.0929672447013488
2014-01,1.0856459330143542
2014-02,1.0856459330143542
2014-03,1.0856459330143542
2014-04,1.0794481446241675
2014-05,1.0794481446241675
2014-06,1.0794481446241675
2014-07,1.0743371212121213
2014-08,1.0743371212121213
2014-09,1.0743371212121213
2014-10,1.0692742695570219
2014-11,1.0692742695570219
2014-12,1.0692742695570219
2015-01,1.0652582159624413
2015-02,1.0652582159624413
2015-03,1.0652582159624413
2015-04,1.0652582159624413
2015-05,1.0652582159624413
2015-06,1.0652582159624413
2015-07,1.0592903828197946
2015-08,1.0592903828197946
2015-09,1.0592903828197946
2015-10,1.0583022388059702
2015-11,1.0583022388059702
2015-12,1.0583022388059702
2016-01,1.0563314711359404
2016-02,1.0563314711359404
2016-03,1.0563314711359404
2016-04,1.0573159366262814
2016-05,1.0573159366262814
2016-06,1.0573159366262814
2016-07,1.0524118738404453
2016-08,1.0524118738404453
2016-09,1.0524118738404453
2016-10,1.048521256931608
2016-11,1.048521256931608
2016-12,1.048521256931608
