owner_org,overall_total
ssc-spc,3049685133.14
hc-sc,329093144.18
pwgsc-tpsgc,326692381.25
esdc-edsc,281759166.60
rcmp-grc,181466376.25
cra-arc,172674584.80
cic,150563407.57
ic,142545371.48
dfatd-maecd,127958793.90
tbs-sct,120917634.07
dfo-mpo,112110667.45
statcan,106596419.06
cbsa-asfc,82379580.78
nrcan-rncan,63863184.80
nrc-cnrc,62599839.38
tc,52879023.40
isc-sac,40032989.58
csc-scc,37490356.26
elections,37446605.22
aafc-aac,36562005.63
cfia-acia,32274466.43
vac-acc,31037890.52
aandc-aadnc,26758243.73
ec,26277515.27
csps-efpc,25500182.25
osfi-bsif,25278098.70
jus,25217741.32
phac-aspc,24071305.81
lac-bac,22137999.53
pco-bcp,18751775.38
pc,18032884.55
nserc-crsng,16623626.25
csa-asc,15150726.10
ps-sp,12760589.77
irb-cisr,12377830.68
osgg-bsgg,12089319.63
oag-bvg,11826371.56
pch,10841556.97
atssc-scdata,10578696.63
infc,10426002.40
cnsc-ccsn,10137330.12
cihr-irsc,9922756.85
cas-satj,9034629.63
nfb-onf,8991142.76
cer-rec,7640506.52
crtc,7629003.14
fin,7614622.45
acoa-apeca,6495733.41
psc-cfp,5544323.36
fcac-acfc,5474258.66
chrc-ccdp,4280161.24
opc-cpvp,3566663.73
cgc-ccg,3355512.35
sshrc-crsh,2922146.18
cta-otc,2876000.23
iic-iac,2631096.12
ced-dec,2606761.67
ppsc-sppc,2234601.56
fintrac-canafe,1945596.46
wage,1547874.44
ocol-clo,1325750.92
tsb-bst,1296346.52
ccohs-cchst,1268643.59
fja-cmf,1250988.61
oic-ci,1236411.94
prairiescan,1109330.87
wd-deo,855633.84
ijc-cmi,692555.97
feddevontario,593075.79
psic-ispc,572949.61
pmprb-cepmb,561601.58
iaac-aeic,540148.41
mgerc-ceegm,513283.12
cpc-cpp,441051.54
pbc-clcc,332199.81
cics-scic,243690.92
swc-cfc,167372.50
ocl-cal,99887.01
polar-polaire,61925.27
nsira-ossnr,60688.81
nbc-ccbn,49379.10
casdo-ocena,9953.06
vrab-tacra,6389.26
