d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2018-2019,24572.46,25016.09
it_other,2017-2018,37049.36,38141.64
it_other,2018-2019,49018.04,50011.09
it_other,2019-2020,5197.21,5216.11
