d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,3773313.97,3882844.15
1_facilities_and_construction,2018-2019,5110153.95,5201617.92
1_facilities_and_construction,2019-2020,4732476.26,4706792.68
1_facilities_and_construction,2020-2021,4014086.76,3823238.82
1_facilities_and_construction,2021-2022,9007364.54,8412659.93
