owner_org,overall_total
dfo-mpo,3307705028.16
rcmp-grc,607799525.37
pwgsc-tpsgc,400843475.73
tc,363885101.85
pc,169975712.27
csc-scc,100989466.13
dfatd-maecd,77139544.92
nrcan-rncan,77122976.47
ec,67494506.37
cbsa-asfc,30528385.05
aafc-aac,28627001.61
phac-aspc,20302344.62
isc-sac,17730689.26
nrc-cnrc,15162182.95
cfia-acia,10230500.27
hc-sc,10073678.74
ssc-spc,7783619.41
cra-arc,5368081.83
esdc-edsc,4419502.72
elections,4398449.18
ic,3626515.83
aandc-aadnc,2965364.21
jus,2554257.95
pco-bcp,2384194.98
cas-satj,1955887.53
cic,1405835.52
polar-polaire,1268064.10
pch,1196069.83
csa-asc,1061873.03
statcan,973119.13
acoa-apeca,625906.51
csps-efpc,624360.74
pbc-clcc,615074.61
tsb-bst,604742.56
ppsc-sppc,590058.01
cgc-ccg,545425.99
cnsc-ccsn,391188.85
osgg-bsgg,352269.17
cannor,270743.61
vac-acc,257504.14
oag-bvg,252658.49
nbc-ccbn,249789.28
atssc-scdata,231223.32
feddevontario,146917.39
ps-sp,118204.28
infc,106918.86
fintrac-canafe,102830.00
cics-scic,100097.40
fin,90090.38
ced-dec,68577.04
crtc,61762.06
oic-ci,55243.41
tbs-sct,55151.91
cer-rec,51724.12
nfb-onf,46439.23
nserc-crsng,43825.36
sirc-csars,41720.00
swc-cfc,38668.81
cihr-irsc,34255.00
ocol-clo,32084.85
cta-otc,13607.50
wage,7907.63
