owner_org,overall_total
dfo-mpo,3654598982.17
rcmp-grc,752247019.23
tc,427458385.57
pwgsc-tpsgc,418020523.74
pc,212319669.39
csc-scc,132336970.59
phac-aspc,110235893.53
nrcan-rncan,95911328.20
dfatd-maecd,94574263.96
ec,91505407.12
aafc-aac,33916823.01
cbsa-asfc,32556941.35
isc-sac,20359157.10
nrc-cnrc,16650460.88
hc-sc,11097982.50
cfia-acia,10725721.34
ssc-spc,8965618.45
cra-arc,6252477.87
esdc-edsc,5316084.65
ic,4369599.66
elections,4133594.78
jus,3347518.78
aandc-aadnc,3036900.71
pco-bcp,2798102.78
cas-satj,2767778.68
cic,1688088.56
pch,1572268.92
polar-polaire,1343901.69
csa-asc,1094943.64
statcan,1093547.64
nbc-ccbn,829166.10
pbc-clcc,723086.12
csps-efpc,692149.61
acoa-apeca,683759.56
ppsc-sppc,646413.44
cgc-ccg,638690.76
tsb-bst,604742.56
cnsc-ccsn,552814.11
osgg-bsgg,456158.46
vac-acc,377764.93
atssc-scdata,312735.68
oag-bvg,265879.49
cannor,202825.45
feddevontario,146917.39
cics-scic,138834.25
irb-cisr,135665.42
infc,133140.13
ps-sp,125939.15
fintrac-canafe,102830.00
fin,96623.58
cer-rec,75795.53
ced-dec,69463.62
crtc,66977.69
oic-ci,55243.41
tbs-sct,55151.91
wage,49627.20
nfb-onf,46439.23
nserc-crsng,43825.36
sirc-csars,41720.00
swc-cfc,38668.81
iaac-aeic,37600.24
cihr-irsc,34255.00
ocol-clo,32084.85
cta-otc,21644.29
lac-bac,10237.35
