owner_org,overall_total
dfo-mpo,2804077941.63
rcmp-grc,431874768.26
tc,210039278.95
csc-scc,150106294.13
pc,131897790
nrcan-rncan,61558729.85
dfatd-maecd,55830851.55
ec,45228117.94
pwgsc-tpsgc,42746333.68
aafc-aac,17994241.69
cbsa-asfc,17863935.27
phac-aspc,13129767.45
isc-sac,10879009.77
cfia-acia,8909187.11
hc-sc,6922523.33
ssc-spc,4957623.21
nrc-cnrc,4046748.65
aandc-aadnc,2454605.83
ic,2136041.41
cra-arc,1580777.8
esdc-edsc,1441913.89
polar-polaire,1268064.1
pco-bcp,1200455.93
jus,954328.26
cas-satj,952680.44
pch,951065.37
csa-asc,837750.92
statcan,707091.1
pbc-clcc,458581.77
acoa-apeca,440624.26
tsb-bst,430653.51
elections,403200.92
cnsc-ccsn,354329.38
osgg-bsgg,341649.29
cic,287152.71
cannor,270743.61
csps-efpc,243268.7
vac-acc,229402.75
cgc-ccg,218831.93
ppsc-sppc,197040.82
oag-bvg,177658.49
atssc-scdata,177135.68
feddevontario,146917.39
nbc-ccbn,142188.1
ps-sp,118204.28
fintrac-canafe,102830
cics-scic,87300.15
infc,85654.49
fin,78603.47
sirc-csars,64720
crtc,56546.42
oic-ci,55243.41
tbs-sct,55151.91
ced-dec,51330.79
nserc-crsng,43825.36
swc-cfc,38668.81
cihr-irsc,34255
ocol-clo,32084.85
nfb-onf,28559.79
cer-rec,28306.47
cta-otc,5570.71
