d_most_recent_category,total,percentage
2_professional_services,28559215.80,0.36299011385592256
11_defence,27747986.17,0.3526793146823329
5_transportation_and_logistics,15337373.19,0.19493934559084483
1_facilities_and_construction,4858038.10,0.061746086254184276
6_industrial_products_and_services,1378216.45,0.01751725080373137
10_office_management,525825.85,0.0066832922227860895
9_human_capital,132477.01,0.0016837943043640103
8_security_and_protection,100979.88,0.0012834630640173514
3_information_technology,19193.44,2.4395025163576644e-4
NA,18362.50,2.3338897018088844e-4
