owner_org,d_fiscal_year,total
aafc-aac,2017-2018,13380.855121951221
aafc-aac,2018-2019,4316.404878048781
aandc-aadnc,2017-2018,48745.12285714286
aandc-aadnc,2018-2019,79666.56714285714
csc-scc,2017-2018,79593.084
csc-scc,2019-2020,10347.75
csc-scc,2020-2021,198920.59
dfo-mpo,2017-2018,3878764.3993520695
dfo-mpo,2018-2019,2967883.984274024
dfo-mpo,2019-2020,2988139.042220524
dfo-mpo,2020-2021,3274802.475956653
dnd-mdn,2017-2018,15886912.624824302
dnd-mdn,2018-2019,16025340.572733408
dnd-mdn,2019-2020,14320979.949064417
dnd-mdn,2020-2021,13948946.515842164
ec,2017-2018,355042.3825363901
ec,2018-2019,358393.0112263465
ec,2019-2020,313726.1223159247
ec,2020-2021,1646958.50296875
isc-sac,2018-2019,47790.33
isc-sac,2019-2020,36217.13
isc-sac,2020-2021,696605.9500000001
nrc-cnrc,2017-2018,29606.832325581392
nrc-cnrc,2018-2019,25651
nrc-cnrc,2019-2020,185536.60315789471
nrc-cnrc,2020-2021,226199.09959720727
nrcan-rncan,2017-2018,32135.168842975207
pc,2017-2018,283339.93000000005
pc,2018-2019,84691.75
pc,2019-2020,28820.100000000002
pc,2020-2021,1496.1770000000001
pch,2017-2018,27599.01
pwgsc-tpsgc,2017-2018,222514.35864946767
pwgsc-tpsgc,2018-2019,207771.96380634775
pwgsc-tpsgc,2019-2020,193951.76345932137
pwgsc-tpsgc,2020-2021,270942.63415285776
rcmp-grc,2017-2018,103991.54440695258
rcmp-grc,2018-2019,22896.228227848103
rcmp-grc,2019-2020,50622.65091922224
rcmp-grc,2020-2021,63124.30812475532
tc,2020-2021,15750
