d_fiscal_year,total,total_constant_2019_dollars
2017-2018,179421.99,184865.16
2018-2019,404951.08,410612.10
2019-2020,403079.88,400111.14
2020-2021,1165123.79,1110814.39
2021-2022,1065235.87,990050.90
