owner_org,d_fiscal_year,total,total_constant_2019_dollars
dfatd-maecd,2017-2018,50182.68,51429.66
dfatd-maecd,2018-2019,39326.78,40023.92
dfatd-maecd,2019-2020,46799.60,46770.43
dfatd-maecd,2020-2021,31109.70,29575.06
dfatd-maecd,2021-2022,79324.24,72797.37
dfo-mpo,2017-2018,24105.75,24722.11
dfo-mpo,2018-2019,75842.94,77125.23
dfo-mpo,2019-2020,49351.81,49201.90
dfo-mpo,2021-2022,21809.82,19841.01
dnd-mdn,2021-2022,21579.24,19490.37
ec,2017-2018,38959.65,39967.87
ec,2018-2019,44040.99,44789.36
ec,2019-2020,65326.78,64495.36
ec,2020-2021,81933.11,77538.47
ec,2021-2022,69390.11,64770.97
hc-sc,2018-2019,14464.00,14606.31
hc-sc,2019-2020,240292.44,236996.72
hc-sc,2020-2021,75220.51,71561.83
ic,2018-2019,45765.00,46323.89
nrc-cnrc,2018-2019,135612.60,136954.46
nrc-cnrc,2019-2020,104246.80,101784.31
nrc-cnrc,2020-2021,792776.77,755322.55
nrc-cnrc,2021-2022,70424.55,65556.66
nrcan-rncan,2018-2019,31863.41,32289.13
nrcan-rncan,2019-2020,90800.70,89591.53
nrcan-rncan,2020-2021,63497.48,60365.16
nrcan-rncan,2021-2022,13289.83,12073.24
pc,2017-2018,30450.00,31292.80
pc,2018-2019,22247.97,22522.61
pc,2019-2020,57699.06,57212.14
pc,2020-2021,48240.20,45944.72
pwgsc-tpsgc,2017-2018,414268.03,424517.13
pwgsc-tpsgc,2018-2019,371523.60,377084.49
pwgsc-tpsgc,2019-2020,883204.70,873142.98
pwgsc-tpsgc,2020-2021,1409712.87,1341439.61
pwgsc-tpsgc,2021-2022,2186750.82,2019335.41
rcmp-grc,2017-2018,13839.00,14197.26
rcmp-grc,2019-2020,45539.00,44984.37
rcmp-grc,2021-2022,22061.82,19926.24
