d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,877441.95,903914.88
it_consulting_services,2018-2019,1182084.24,1203687.32
it_consulting_services,2019-2020,1929934.94,1910652.61
it_consulting_services,2020-2021,1398414.69,1333508.25
it_consulting_services,2021-2022,912716.06,836956.50
it_consulting_services,2022-2023,467976.79,417090.92
it_devices_equipment,2017-2018,3814.06,3922.99
it_devices_equipment,2018-2019,23202.22,23646.84
it_devices_equipment,2019-2020,19451.72,19353.19
it_devices_equipment,2020-2021,7894.52,7438.82
it_devices_equipment,2021-2022,30525.48,28583.54
it_software_licensing,2017-2018,1074167.10,1107393.31
it_software_licensing,2018-2019,1186155.41,1207263.24
it_software_licensing,2019-2020,665674.06,657521.80
it_software_licensing,2020-2021,1722879.31,1628689.74
it_software_licensing,2021-2022,639697.96,593249.22
it_software_licensing,2022-2023,905849.94,807329.00
