d_most_recent_category,total,percentage
3_information_technology,10492495.24,0.7102
11_defence,2033156.54,0.1376
2_professional_services,1709996.27,0.1157
9_human_capital,485603.12,0.0329
10_office_management,52772.42,0.0036
6_industrial_products_and_services,0.00,0
