normalized_vendor_name,original_vendor_name
S P GLOBAL MARKET INTELLIGENCE,"S&P Global Market Intelligence, LLC"
S P GLOBAL MARKET INTELLIGENCE,S&P GLOBAL MARKET INTELLIGENCE
S P GLOBAL MARKET INTELLIGENCE,IHS Markit
S P GLOBAL MARKET INTELLIGENCE,S&P GLOBAL MARKET INTELLIGENCE LLC
S P GLOBAL MARKET INTELLIGENCE,S&P Global Market Intelligence
S P GLOBAL MARKET INTELLIGENCE,IHS Markit Canada ULC
S P GLOBAL MARKET INTELLIGENCE,S&P GLOBAL MARKET INTELLIGENCE LLC - usa
S P GLOBAL MARKET INTELLIGENCE,IHS MARKIT CANADA ULC
S P GLOBAL MARKET INTELLIGENCE,IHS MARKIT CANADA LTD
S P GLOBAL MARKET INTELLIGENCE,S&P Global Market Intelligence LLC
S P GLOBAL MARKET INTELLIGENCE,IHS MARKIT Canada
S P GLOBAL MARKET INTELLIGENCE,"S&P GLOBAL MARKET INTELLIGENCE, LLC"
S P GLOBAL MARKET INTELLIGENCE,IHS MARKIT CANADA LIMITED
S P GLOBAL MARKET INTELLIGENCE,IHS Workbench Subscription
S P GLOBAL MARKET INTELLIGENCE,IHS MARKIT
S P GLOBAL MARKET INTELLIGENCE,"IHS MARKIT CANADA ULC - Toronto, On"
S P GLOBAL MARKET INTELLIGENCE,"IHS MARKIT CANADA ULC - Calgary, ALTA"
S P GLOBAL MARKET INTELLIGENCE,IHS Markit Canada Limited
S P GLOBAL MARKET INTELLIGENCE,Jane's / IHS Markit
S P GLOBAL MARKET INTELLIGENCE,"IHS MARKIT - IRVINE, CA USA"
S P GLOBAL MARKET INTELLIGENCE,IHS MARKIT CANADA LTD.
S P GLOBAL MARKET INTELLIGENCE,IHS Markit Agribusiness UK Limited
S P GLOBAL MARKET INTELLIGENCE,IHS MARKIT AGRIBUSINESS US LLC
