d_most_recent_category,total,percentage
9_human_capital,5434701.74,0.4994
3_information_technology,4825008.93,0.4434
2_professional_services,377166.53,0.0347
10_office_management,217855.96,0.02
1_facilities_and_construction,27685.00,0.0025
