owner_org,d_fiscal_year,total
aafc-aac,2018-2019,26953.329999999998
aafc-aac,2020-2021,29979.539999999997
acoa-apeca,2019-2020,4467.75
acoa-apeca,2020-2021,11616.15
cbsa-asfc,2018-2019,30916.8
cbsa-asfc,2019-2020,71924.93
cfia-acia,2017-2018,18560.25
cnsc-ccsn,2019-2020,21373.95
cra-arc,2017-2018,15165.366672131146
cra-arc,2018-2019,56983.173327868855
cra-arc,2020-2021,57027.15
csa-asc,2020-2021,11467.03
csc-scc,2017-2018,28654.366630136985
csc-scc,2018-2019,13543.05
csc-scc,2019-2020,27778.998591960477
csc-scc,2020-2021,22798.160586121718
dfo-mpo,2018-2019,14666.949999999999
dfo-mpo,2020-2021,23912.16
dnd-mdn,2017-2018,42912.23742222222
dnd-mdn,2018-2019,118027.78675555556
dnd-mdn,2019-2020,114180.51773304268
dnd-mdn,2020-2021,325990.33808917954
ec,2017-2018,14167.91
ec,2019-2020,85240.11
ec,2020-2021,125310.21
esdc-edsc,2018-2019,18122.5
esdc-edsc,2019-2020,31553.7
hc-sc,2017-2018,11762.17
hc-sc,2019-2020,13305.75
iaac-aeic,2018-2019,175192.04
nrc-cnrc,2017-2018,171129.1794214079
nrc-cnrc,2018-2019,564868.5317663341
nrc-cnrc,2019-2020,860623.6649537241
nrc-cnrc,2020-2021,642914.596792727
nrcan-rncan,2017-2018,29776.84
nrcan-rncan,2018-2019,110206.84
nrcan-rncan,2019-2020,157628.88857142857
nrcan-rncan,2020-2021,25044.35142857143
pc,2017-2018,65352.03999999999
pc,2019-2020,11623.98
pch,2019-2020,55590.76
pwgsc-tpsgc,2018-2019,22140.17
pwgsc-tpsgc,2019-2020,48360.22655737705
pwgsc-tpsgc,2020-2021,223753.71344262295
rcmp-grc,2017-2018,33652.53
rcmp-grc,2018-2019,98665.31999999999
rcmp-grc,2019-2020,366337.69999999995
rcmp-grc,2020-2021,171419.4
ssc-spc,2017-2018,90238.68456704027
ssc-spc,2018-2019,31262.925534028815
ssc-spc,2019-2020,88950.30199582427
ssc-spc,2020-2021,57135.23905236252
tc,2017-2018,55176.159999999996
tc,2018-2019,113675.01
tc,2019-2020,127053.31000000001
tc,2020-2021,21549.67
