d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,698839.65,690199.55
1_facilities_and_construction,2020-2021,992515.45,945192.99
1_facilities_and_construction,2021-2022,38877.46,35553.07
1_facilities_and_construction,2022-2023,51180.45,46074.20
11_defence,2018-2019,1470291.37,1490456.26
11_defence,2019-2020,1223710.90,1224851.25
11_defence,2020-2021,51796.30,49326.69
11_defence,2021-2022,3233.33,2922.88
11_defence,2022-2023,1180165.43,1056016.97
6_industrial_products_and_services,2018-2019,50874.60,51774.12
6_industrial_products_and_services,2019-2020,63372.23,62168.29
6_industrial_products_and_services,2020-2021,172618.37,164388.05
6_industrial_products_and_services,2022-2023,9705.67,8614.90
