d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1365786.1111234997
1_facilities_and_construction,2018-2019,1366380.979527769
1_facilities_and_construction,2019-2020,226955.47396012716
1_facilities_and_construction,2020-2021,104437.65705364996
10_office_management,2017-2018,48590
10_office_management,2018-2019,12430
10_office_management,2019-2020,22800
10_office_management,2020-2021,21850
2_professional_services,2017-2018,15876.181164464604
2_professional_services,2018-2019,225562.34097512192
2_professional_services,2019-2020,15604.977525738692
2_professional_services,2020-2021,24349.97146782265
6_industrial_products_and_services,2017-2018,277593.71452710324
6_industrial_products_and_services,2018-2019,895199.7713787756
6_industrial_products_and_services,2019-2020,319788.3598447335
6_industrial_products_and_services,2020-2021,299946.48623233096
