d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,12777926.89,13168487.29
1_facilities_and_construction,2018-2019,18217305.29,18567307.19
1_facilities_and_construction,2019-2020,12533270.41,12433559.14
1_facilities_and_construction,2020-2021,12365855.63,11789221.55
1_facilities_and_construction,2021-2022,12476956.93,11673471.60
11_defence,2017-2018,1781301.42,1836622.64
11_defence,2018-2019,784792.97,801109.67
11_defence,2019-2020,547867.66,541604.26
11_defence,2020-2021,131626.40,125489.25
11_defence,2021-2022,131626.40,123170.85
3_information_technology,2017-2018,12285.00,12623.54
4_medical,2020-2021,19968.23,18938.70
4_medical,2021-2022,6591627.85,6176842.73
5_transportation_and_logistics,2017-2018,21054.05,21634.24
6_industrial_products_and_services,2017-2018,1633921.87,1683258.17
6_industrial_products_and_services,2018-2019,863935.04,878310.39
6_industrial_products_and_services,2019-2020,1272265.16,1258837.16
6_industrial_products_and_services,2020-2021,565537.07,538347.18
6_industrial_products_and_services,2021-2022,591228.75,550723.17
9_human_capital,2019-2020,31279.98,31242.24
