d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2016915.50,2067474.14
2018-2019,2714766.42,2753888.60
2019-2020,2376956.99,2355233.44
2020-2021,2660980.91,2527234.65
2021-2022,3390595.89,3141219.74
