d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2018-2019,18362.50,18683.64
11_defence,2022-2023,84281.82,74597.46
3_information_technology,2018-2019,70921.21,71583.73
3_information_technology,2019-2020,1815859.28,1801394.99
3_information_technology,2020-2021,946269.39,901155.54
3_information_technology,2021-2022,975751.39,906937.92
3_information_technology,2022-2023,1262475.33,1127884.80
9_human_capital,2020-2021,111066.49,106600.91
9_human_capital,2021-2022,44139.21,40848.23
9_human_capital,2022-2023,38245.12,34286.47
