owner_org,d_fiscal_year,total,total_constant_2019_dollars
acoa-apeca,2017-2018,7387.76,7561.90
acoa-apeca,2018-2019,30792.24,31408.06
acoa-apeca,2019-2020,36683.83,36018.31
acoa-apeca,2020-2021,99360.00,94202.05
cer-rec,2017-2018,206343.28,211289.71
cer-rec,2018-2019,476679.10,484092.17
cer-rec,2019-2020,477985.07,473951.37
cer-rec,2020-2021,238992.54,227533.05
cer-rec,2021-2022,125458.84,82937.74
dfatd-maecd,2020-2021,29650.64,27919.58
dfo-mpo,2017-2018,8439.24,8638.17
dfo-mpo,2018-2019,75712.86,76812.93
dfo-mpo,2019-2020,52351.90,51910.10
elections,2020-2021,229950.00,217068.19
esdc-edsc,2019-2020,133904.54,131083.89
esdc-edsc,2020-2021,42849.87,40384.28
esdc-edsc,2021-2022,72282.33,68142.16
iaac-aeic,2020-2021,9851.19,9315.23
iaac-aeic,2021-2022,29472.81,23055.54
ic,2017-2018,19545.75,20006.48
jus,2019-2020,209366.40,206261.39
nrc-cnrc,2017-2018,11758.44,12063.14
nrcan-rncan,2017-2018,736593.70,755638.48
nrcan-rncan,2018-2019,806955.22,819373.01
nrcan-rncan,2019-2020,827063.89,819195.00
nrcan-rncan,2020-2021,789132.71,750736.97
nrcan-rncan,2021-2022,403812.31,315888.08
oci-bec,2018-2019,156618.00,158450.39
phac-aspc,2017-2018,13390.50,13706.14
phac-aspc,2019-2020,35527.20,34848.40
rcmp-grc,2017-2018,36169.66,37106.94
rcmp-grc,2018-2019,47119.02,47794.42
rcmp-grc,2019-2020,36765.72,36455.45
rcmp-grc,2020-2021,36665.26,34856.58
rcmp-grc,2021-2022,36665.26,28681.94
wd-deo,2019-2020,32240.25,32331.74
