owner_org,d_fiscal_year,total
aafc-aac,2017-2018,1635177.6777852343
aafc-aac,2018-2019,677591.4692787178
aandc-aadnc,2017-2018,246578.41842465752
aandc-aadnc,2018-2019,476940.69499999995
aandc-aadnc,2019-2020,218862.24657534246
cas-satj,2019-2020,123170
cbsa-asfc,2018-2019,330433.33523245214
cbsa-asfc,2019-2020,474269.0223336372
cbsa-asfc,2020-2021,2407074.181789347
ced-dec,2020-2021,10509
cer-rec,2017-2018,274476.1273209549
cer-rec,2020-2021,205426.35658914727
cic,2018-2019,59158.916279069774
cic,2019-2020,363616.0294017929
cic,2020-2021,398275.65291402786
csa-asc,2017-2018,426155.09810072155
csa-asc,2018-2019,475971.2893324045
csa-asc,2019-2020,347611.7071976285
csa-asc,2020-2021,236094.7030981375
csc-scc,2017-2018,8481039.11909651
csc-scc,2018-2019,8653800.97909651
csc-scc,2019-2020,12477989.990785085
csc-scc,2020-2021,6311214.069761624
dfatd-maecd,2017-2018,21458.7
dfatd-maecd,2018-2019,74425.33197139938
dfatd-maecd,2019-2020,109837.38508682328
dfatd-maecd,2020-2021,109537.28294177732
dnd-mdn,2017-2018,28974413.701561846
dnd-mdn,2018-2019,10974105.232924711
dnd-mdn,2019-2020,10579997.993551975
dnd-mdn,2020-2021,10202428.242381237
ec,2017-2018,82070.74491525424
ec,2018-2019,82070.74491525424
ec,2019-2020,83231.65127118645
ec,2020-2021,138472.82570212922
esdc-edsc,2017-2018,88530.75
hc-sc,2020-2021,246227.47280334728
ic,2017-2018,528580.9572623763
ic,2018-2019,528580.9572623763
ic,2019-2020,505101.01467953355
ic,2020-2021,528580.9572623763
irb-cisr,2020-2021,28708.723886718748
isc-sac,2017-2018,8436.695
isc-sac,2018-2019,8436.695
isc-sac,2019-2020,48868.97000000001
nrc-cnrc,2020-2021,39550
nrcan-rncan,2017-2018,113814.20535714286
nrcan-rncan,2018-2019,158812.41964285713
nrcan-rncan,2019-2020,116319.375
osfi-bsif,2019-2020,24704.37960255577
osfi-bsif,2020-2021,74521.47566060213
pco-bcp,2017-2018,13882.05
pco-bcp,2020-2021,25504.75
ps-sp,2017-2018,35790.57692307693
ps-sp,2018-2019,784086.5638541459
ps-sp,2019-2020,1144582.6998147175
ps-sp,2020-2021,732404.9099812254
pwgsc-tpsgc,2017-2018,3694115.4764716616
pwgsc-tpsgc,2018-2019,2465161.7651962847
pwgsc-tpsgc,2019-2020,4111261.0999737307
pwgsc-tpsgc,2020-2021,4321260.420669725
rcmp-grc,2017-2018,617119.8854770017
rcmp-grc,2018-2019,456153.0434542832
rcmp-grc,2019-2020,611313.5036496351
rcmp-grc,2020-2021,609643.2481751825
sirc-csars,2017-2018,45872.20044169611
ssc-spc,2017-2018,10663378.256963164
ssc-spc,2018-2019,18361191.063873164
ssc-spc,2019-2020,7574388.2747394815
ssc-spc,2020-2021,7525773.195876288
tc,2017-2018,2670083.8942697807
tc,2018-2019,1607443.2691005312
tc,2019-2020,574562.8358208955
tc,2020-2021,238027.4848923322
