d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1572753.97,1620521.94
2018-2019,1184217.22,1206299.84
2019-2020,343407.63,341714.04
2020-2021,1158242.70,1100612.72
2021-2022,1361540.30,1260228.24
2022-2023,489053.99,441433.26
