d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,11675.11
11_defence,2017-2018,119642.08860759494
11_defence,2019-2020,335189.75
11_defence,2020-2021,71275.89639593907
5_transportation_and_logistics,2017-2018,80326.55
5_transportation_and_logistics,2018-2019,169383.63
5_transportation_and_logistics,2019-2020,8723149.13254446
5_transportation_and_logistics,2020-2021,8196308.87745554
6_industrial_products_and_services,2018-2019,20399.83842105263
6_industrial_products_and_services,2019-2020,98509.85157894737
6_industrial_products_and_services,2020-2021,10085.730000000001
8_security_and_protection,2017-2018,1289151.6464088398
8_security_and_protection,2018-2019,13294376.35359116
