d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1971412.93,2032046.47
2018-2019,1971475.53,2007979.95
2019-2020,2164392.15,2146127.41
2020-2021,1538460.12,1465034.07
2021-2022,1593258.67,1483242.62
2022-2023,1041978.85,932134.13
