d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,306489.491032186
1_facilities_and_construction,2018-2019,1015690.9494888507
1_facilities_and_construction,2019-2020,791857.0987479496
1_facilities_and_construction,2020-2021,1805196.8151863676
10_office_management,2017-2018,552961.1499460669
10_office_management,2018-2019,1959273.9841074832
10_office_management,2019-2020,3095666.5444488134
10_office_management,2020-2021,1993134.3282515367
2_professional_services,2017-2018,33010013.22502388
2_professional_services,2018-2019,46662442.36574002
2_professional_services,2019-2020,46267603.90464145
2_professional_services,2020-2021,44349379.0941939
3_information_technology,2017-2018,13112156.995042117
3_information_technology,2018-2019,18638226.971139807
3_information_technology,2019-2020,27523175.10398574
3_information_technology,2020-2021,30507957.249353297
4_medical,2017-2018,36520691.22308256
4_medical,2018-2019,58695301.0305508
4_medical,2019-2020,69543329.99068582
4_medical,2020-2021,69360050.97649468
5_transportation_and_logistics,2018-2019,45736.08
5_transportation_and_logistics,2019-2020,115441.45
5_transportation_and_logistics,2020-2021,68225.22
6_industrial_products_and_services,2017-2018,542332.8056708198
6_industrial_products_and_services,2018-2019,825568.0630135989
6_industrial_products_and_services,2019-2020,793538.4424668631
6_industrial_products_and_services,2020-2021,664458.8778707433
8_security_and_protection,2017-2018,1409911.4793229168
8_security_and_protection,2018-2019,1169959.7793229166
8_security_and_protection,2019-2020,1712042.5174643209
8_security_and_protection,2020-2021,1354360.8872970738
9_human_capital,2017-2018,170680.60546734894
9_human_capital,2018-2019,200850.3313147996
9_human_capital,2019-2020,945771.5586810712
9_human_capital,2020-2021,638579.2256797443
