d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,6068421.92,6242403.88
1_facilities_and_construction,2018-2019,9703321.27,9831729.58
1_facilities_and_construction,2019-2020,6110881.63,6094455.36
1_facilities_and_construction,2020-2021,5572893.85,5494785.90
1_facilities_and_construction,2021-2022,12549380.67,7225389.93
2_professional_services,2017-2018,535208.27,545457.07
2_professional_services,2018-2019,35191.73,35565.07
5_transportation_and_logistics,2017-2018,5822925.02,5987602.29
5_transportation_and_logistics,2018-2019,6050102.55,6130853.32
5_transportation_and_logistics,2019-2020,7486000.41,7466161.67
5_transportation_and_logistics,2020-2021,1778213.55,1740849.26
5_transportation_and_logistics,2021-2022,2338318.75,1849750.64
