owner_org,d_fiscal_year,total,total_constant_2019_dollars
cfia-acia,2020-2021,39889.00,38099.83
dnd-mdn,2018-2019,22544.63,22736.90
dnd-mdn,2019-2020,458407.46,454728.70
dnd-mdn,2020-2021,457154.99,435839.89
dnd-mdn,2021-2022,13582.91,12350.54
esdc-edsc,2017-2018,464779.64,479024.78
esdc-edsc,2018-2019,464779.64,473275.34
esdc-edsc,2019-2020,466053.01,462312.88
esdc-edsc,2020-2021,464779.64,443109.04
esdc-edsc,2021-2022,464779.64,434922.68
tbs-sct,2017-2018,901471.91,929101.34
tbs-sct,2018-2019,901471.91,917949.90
tbs-sct,2019-2020,903941.70,896687.48
tbs-sct,2020-2021,755754.54,721235.85
