d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,2355349.71,2424702.28
1_facilities_and_construction,2018-2019,3681499.94,3738514.41
1_facilities_and_construction,2019-2020,3136588.83,3091270.83
1_facilities_and_construction,2020-2021,1224504.40,1164018.59
1_facilities_and_construction,2021-2022,374564.22,347782.24
1_facilities_and_construction,2022-2023,2070125.85,1854289.88
10_office_management,2017-2018,250656.00,258096.90
2_professional_services,2018-2019,181815.97,183514.43
2_professional_services,2019-2020,347918.40,341522.51
2_professional_services,2020-2021,167821.50,158134.13
5_transportation_and_logistics,2018-2019,71116.50,71780.84
5_transportation_and_logistics,2020-2021,218688.96,206404.09
5_transportation_and_logistics,2021-2022,947153.60,886612.76
5_transportation_and_logistics,2022-2023,58012.50,52400.62
