d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,208509.28
11_defence,2019-2020,863346.65
11_defence,2020-2021,1886955.25
2_professional_services,2017-2018,1805086.77
2_professional_services,2018-2019,1840001.31
2_professional_services,2019-2020,1929667.90
2_professional_services,2020-2021,3609986.11
3_information_technology,2017-2018,27789880.41
3_information_technology,2018-2019,40639746.21
3_information_technology,2019-2020,45072572.78
3_information_technology,2020-2021,38352186.67
9_human_capital,2020-2021,217692.05
