d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,208509.28,214098.48
1_facilities_and_construction,2021-2022,1502173.46,39002.79
11_defence,2019-2020,863346.65,860613.81
11_defence,2020-2021,1886955.25,1847306.05
11_defence,2021-2022,1886955.25,1433407.48
2_professional_services,2017-2018,1805086.77,1853842.70
2_professional_services,2018-2019,1840001.31,1864081.78
2_professional_services,2019-2020,1929667.90,1925345.99
2_professional_services,2020-2021,3609986.11,3496576.03
2_professional_services,2021-2022,5757729.18,4278670.34
3_information_technology,2017-2018,27789880.41,28514035.40
3_information_technology,2018-2019,40639746.21,41163161.63
3_information_technology,2019-2020,45072572.78,44982117.13
3_information_technology,2020-2021,38352186.67,37508952.27
3_information_technology,2021-2022,37291939.31,27873423.24
9_human_capital,2020-2021,217692.05,209659.57
9_human_capital,2021-2022,387598.04,294435.13
