d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,143575.71,147242.34
11_defence,2019-2020,268371.05,269325.26
11_defence,2020-2021,100897.10,95893.51
11_defence,2021-2022,90168.93,83267.50
3_information_technology,2017-2018,30061.23,30897.30
3_information_technology,2018-2019,344173.31,347587.59
3_information_technology,2019-2020,184264.83,180448.54
3_information_technology,2020-2021,694379.75,654072.97
3_information_technology,2021-2022,926356.27,858415.03
6_industrial_products_and_services,2017-2018,264804.60,271107.25
6_industrial_products_and_services,2019-2020,299204.77,292902.41
6_industrial_products_and_services,2020-2021,114223.75,107724.70
6_industrial_products_and_services,2021-2022,216782.71,199554.59
