d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1532864.570065424
1_facilities_and_construction,2018-2019,615202.67079003
1_facilities_and_construction,2019-2020,54489.344514522825
11_defence,2017-2018,94635.35976432617
11_defence,2018-2019,51151.66542126048
11_defence,2019-2020,23011.877240630092
11_defence,2020-2021,15341.251493753394
2_professional_services,2017-2018,1335855.818878662
2_professional_services,2018-2019,1216975.0526167275
2_professional_services,2019-2020,720913.8218002692
2_professional_services,2020-2021,242143.13765751614
3_information_technology,2017-2018,165016.6175569521
3_information_technology,2018-2019,165016.6175569521
6_industrial_products_and_services,2017-2018,217753.87648936172
6_industrial_products_and_services,2018-2019,67849.11893617021
