d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,7303039.907721954
1_facilities_and_construction,2020-2021,9481220.344993582
11_defence,2017-2018,412217.659137577
11_defence,2018-2019,452752.659137577
11_defence,2019-2020,413347.02258726896
11_defence,2020-2021,412217.659137577
5_transportation_and_logistics,2017-2018,552377.2703191884
5_transportation_and_logistics,2018-2019,1263093.714402409
5_transportation_and_logistics,2019-2020,1160871.4352784026
5_transportation_and_logistics,2020-2021,995586.9436470299
6_industrial_products_and_services,2020-2021,27574.7
