d_fiscal_year,total,total_constant_2019_dollars
2017-2018,31885021.45,32857600.96
2018-2019,34129236.43,34735000.23
2019-2020,44697566.69,44298744.93
2020-2021,57172278.98,54400753.40
2021-2022,69016287.66,64037572.75
2022-2023,86292892.28,77219862.30
