d_fiscal_year,total,total_constant_2019_dollars
2017-2018,452635.76,465727.67
2018-2019,3992954.58,4068876.38
2019-2020,3873823.23,3842473.64
2020-2021,120841.69,114740.13
2021-2022,506849.35,473342.85
2022-2023,464111.53,414702.37
