d_fiscal_year,total,total_constant_2019_dollars
2017-2018,113505.59,116818.42
2018-2019,332536.93,338430.21
2019-2020,712559.81,706750.98
2020-2021,578417.42,552025.26
2021-2022,1785276.16,1634291.45
