d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1867514.82,1919368.19
2018-2019,1457850.91,1478008.20
2019-2020,2346032.50,2326276.67
2020-2021,232991.10,221652.86
2021-2022,131169.62,122035.48
