d_fiscal_year,total,total_constant_2019_dollars
2017-2018,342289.04,353646.15
2018-2019,4064904.08,4101834.27
2019-2020,375810.54,372990.27
2020-2021,142546.97,135657.89
2021-2022,546074.43,515547.02
