d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,24635.48,24934.48
1_facilities_and_construction,2019-2020,34885.29,34892.52
11_defence,2017-2018,215927.39,222545.08
11_defence,2018-2019,100010.57,102465.69
2_professional_services,2017-2018,2027670.48,2090154.13
2_professional_services,2018-2019,2647449.46,2693990.20
2_professional_services,2019-2020,2796496.45,2776187.87
2_professional_services,2020-2021,1740776.42,1659020.75
2_professional_services,2021-2022,1722309.17,1592189.09
2_professional_services,2022-2023,2564303.06,2291841.51
3_information_technology,2017-2018,210025.50,216411.48
3_information_technology,2018-2019,206088.11,209681.90
3_information_technology,2019-2020,127787.49,127090.11
3_information_technology,2020-2021,233591.07,222231.38
3_information_technology,2021-2022,25263.19,23210.73
3_information_technology,2022-2023,233696.77,207929.24
9_human_capital,2017-2018,12772.32,13172.91
9_human_capital,2022-2023,9545.45,8447.21
