d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1164409.13,1194464.28
2018-2019,2490605.24,2521756.44
2019-2020,3849791.45,3818094.63
2020-2021,3203873.46,3040004.00
2021-2022,3488887.83,2310584.83
